site,depth,fraction.name,fraction.code,pct.n.pre.ashing.fraction,pct.c.pre.ashing.fraction,pct.n.post.ashing,pct.c.post.ashing.fraction,pct.mass.loss.fraction,pct.c.in.org.fraction,pct.c.in.whole.fraction,n.in.org.fract,pct.n.in.whole.fraction,species,pct.c.pre.ashing.bulk,pct.n.pre.ashing.bulk,pct.c.post.ashing.bulk,pct.n.post.ashing.bulk,pct.mass.loss.bulk,fraction.id,pct.c.in.org.fraction.bulk,org.c.in.total.bulk,pct.n.in.org.fraction.bulk,pct.n.in.total.bulk,sample,soil.mass.pre.fract,fraction.mass,org.c.mass.fraction,pct.c.in.fraction,org.c.start.mass.bulk,org.c.fraction.mass,soil.mass.sum.fractions,sum.org.c.mass.fraction,inorg.c.mass.frac,inorg.c.mass.bulk,org.c.bulk.wt,lon,lat,soil.ph,bulk.dens,pct.m,litter.pct.n,litter.pct.c,litter.lignin.mg.g,litter.cell.mg.g,litter.hwec.ppm,soil.npoc.mg.L,fractionated,npoc.mg.g,soil.doc.mass.g
130E,2,POM,pom,1.100618891,18.45821756,0.00351786,0,39.3258427,46.93661036,18.45821756,2.793289053,1.098484459,picea,3.522244393,0.228831709,0.930794334,0.003355138,7.509881423,fraction.pom,35.43799775,2.66135161,3.005753689,0.225728538,25B,10.333,0.358,0.066080419,20.54617803,0.274997462,0.066080419,10.505,0.321619032,0,0.096178979,0.274997462,5.430168,52.460313,7.242,0.987,39.249,1.064,56.2102,228.23025,119.61005,1169.5,138.4,y,1.1072,0.0011072
130P,1,Silt + Clay,sc,0.394773031,4.64932051,0.00401164,0.107234663,12.96482412,35.14115263,4.555988632,3.01802392,0.391281493,populus,4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,fraction.sc,34.60795354,4.394660768,2.888235793,0.366760101,28A,10.428,7.252,0.330400296,66.52821403,0.458275225,0.330400296,10.447,0.496631843,0.006768428,0.072201503,0.458275225,5.424881,52.463612,7.145,0.927,0.316,1.3739,54.71905,157.715,112.7992,2016,58.9,y,0.4712,0.0004712
130P,1,Sand + Agg,sa,0.201335515,2.955041592,0.004210047,0.314562094,5.856255546,45.40274988,2.658901058,3.37027675,0.197372019,populus,4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,fraction.sa,34.60795354,4.394660768,2.888235793,0.366760101,28A,10.428,2.761,0.073412258,14.78202802,0.458275225,0.073412258,10.447,0.496631843,0.00817644,0.072201503,0.458275225,5.424881,52.463612,7.145,0.927,0.316,1.3739,54.71905,157.715,112.7992,2016,58.9,y,0.4712,0.0004712
130P,1,POM,pom,1.4664087,21.49803901,0.004052148,0.192230941,42.20183486,50.67773267,21.38693305,3.469201369,1.464066633,populus,4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,fraction.pom,34.60795354,4.394660768,2.888235793,0.366760101,28A,10.428,0.434,0.092819289,18.68975796,0.458275225,0.092819289,10.447,0.496631843,0.0004822,0.072201503,0.458275225,5.424881,52.463612,7.145,0.927,0.316,1.3739,54.71905,157.715,112.7992,2016,58.9,y,0.4712,0.0004712
130P,2,Silt + Clay,sc,0.208369598,2.921378762,0.003133382,0.373080768,8.943089431,28.86768561,2.581662941,2.298047434,0.205516437,populus,2.958489964,0.194327839,0.932050379,0.01873684,6.870229008,fraction.sc,30.42800434,2.090473581,2.574561381,0.176878263,28B,10.364,7.159,0.18482125,67.95762906,0.216656682,0.18482125,10.474,0.271965418,0.024320256,0.096597701,0.216656682,5.424881,52.463612,7.264,0.915,20.279,1.3739,54.71905,157.715,112.7992,2016,149.4,y,1.1952,0.0011952
130P,2,Sand + Agg,sa,0.077331178,1.576863933,0.003944628,0.275808541,3.700361011,35.43603718,1.311261304,1.987171394,0.073532515,populus,2.958489964,0.194327839,0.932050379,0.01873684,6.870229008,fraction.sa,30.42800434,2.090473581,2.574561381,0.176878263,28B,10.364,3.06,0.040124596,14.75356543,0.216656682,0.040124596,10.474,0.271965418,0.00812744,0.096597701,0.216656682,5.424881,52.463612,7.264,0.915,20.279,1.3739,54.71905,157.715,112.7992,2016,149.4,y,1.1952,0.0011952
130P,2,POM,pom,1.067321883,18.4415416,0.003282882,0.003918653,36.36363636,50.70738176,18.43904791,2.929390135,1.065232776,populus,2.958489964,0.194327839,0.932050379,0.01873684,6.870229008,fraction.pom,30.42800434,2.090473581,2.574561381,0.176878263,28B,10.364,0.255,0.047019572,17.28880551,0.216656682,0.047019572,10.474,0.271965418,6.36E-06,0.096597701,0.216656682,5.424881,52.463612,7.264,0.915,20.279,1.3739,54.71905,157.715,112.7992,2016,149.4,y,1.1952,0.0011952
130Q1,1,Silt + Clay,sc,0.413212101,5.093772469,0.003825147,0.107026533,13.25757576,37.72133873,5.00093506,3.091772457,0.409894076,acer,5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,fraction.sc,43.94223606,5.334028652,3.579036497,0.434449517,23A,10.1,6.858,0.342964126,66.29604648,0.538736894,0.342964126,10.097,0.51732214,0.00636679,0.053990808,0.538736894,5.42436,52.462942,7.144,0.882,53.039,1.39495,55.9265,160.9802,88.33845,1826.5,57.9,y,0.4632,0.0004632
130Q1,1,Sand + Agg,sa,4.110491254,2.896410164,0.003649906,0.435383944,7.545045045,33.05316429,2.493876135,54.4346218,4.107116735,acer,5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,fraction.sa,43.94223606,5.334028652,3.579036497,0.434449517,23A,10.1,2.853,0.071150286,13.75357454,0.538736894,0.071150286,10.097,0.51732214,0.011484296,0.053990808,0.538736894,5.42436,52.462942,7.144,0.882,53.039,1.39495,55.9265,160.9802,88.33845,1826.5,57.9,y,0.4632,0.0004632
130Q1,1,POM,pom,1.707514522,26.7717562,0.004834491,0.072221153,52.91828794,50.52648959,26.73775324,3.222398961,1.705238361,acer,5.803702026,0.437261682,0.534562458,0.003200688,12.13872832,fraction.pom,43.94223606,5.334028652,3.579036497,0.434449517,23A,10.1,0.386,0.103207728,19.95037899,0.538736894,0.103207728,10.097,0.51732214,0.000131251,0.053990808,0.538736894,5.42436,52.462942,7.144,0.882,53.039,1.39495,55.9265,160.9802,88.33845,1826.5,57.9,y,0.4632,0.0004632
