site,depth,fraction.name,fraction.code,pct.n.pre.ashing,pct.c.pre.ashing,pct.n.post.ashing,pct.c.post.ashing,pct.mass.loss,c.in.org.fract,org.c.in.t.frac,n.in.org.fract,org.n.in.t.frac,species,mean.c.pre,mean.n.pre,mean.c.post,mean.n.post,mean.pct.mass.loss,fraction.id,c.in.org.fraction.bulk,org.c.in.total.bulk,n.in.org.fraction.bulk,org.n.in.total.bulk,sample,soil.start.wt,weight.g,orgc.weight,totwt,pct.c.cont.by.fraction
127F,1,Silt + Clay,sc,0.48,5.77,0,0.53,11.89,44.6006476,5.303017,4.037005887,0.48,populus,5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,fraction.sc,41.02246554,5.181330199,3.711989055,0.468841664,15A,10.838,6.644,0.352332449,0.681688049,51.68529065
127F,1,POM,pom,1.55,23.17,0,0.08,45.86,50.42888792,23.126688,3.379851723,1.55,populus,5.665956958,0.471839666,0.554686238,0.003431405,12.63046999,fraction.pom,41.02246554,5.181330199,3.711989055,0.468841664,15A,10.838,0.992,0.229416745,0.681688049,33.65421255
127F,2,Sand + Agg,sa,0.09,1.64,0,0.45,3.33,36.18573574,1.204985,2.702702703,0.09,populus,3.218842681,0.222168293,0.883243466,0.002653332,6.930201039,fraction.sa,34.58499615,2.396809763,3.170165497,0.219698842,15B,11.029,3.039,0.036619494,0.270536094,13.53589962
127F,2,Silt + Clay,sc,0.24,3.32,0,0.92,6.57,37.44968037,2.460444,3.652968037,0.24,populus,3.218842681,0.222168293,0.883243466,0.002653332,6.930201039,fraction.sc,34.58499615,2.396809763,3.170165497,0.219698842,15B,11.029,7.693,0.189281957,0.270536094,69.96550957
127F,2,POM,pom,0.76,12.12,0,0.16,24.1,49.78655602,11.99856,3.153526971,0.76,populus,3.218842681,0.222168293,0.883243466,0.002653332,6.930201039,fraction.pom,34.58499615,2.396809763,3.170165497,0.219698842,15B,11.029,0.372,0.044634643,0.270536094,16.49859081
130E,1,Silt + Clay,sc,0.481931217,5.809513319,0.003858471,0.060223961,14.77170994,38.9811707,5.758185467,3.24026609,0.478642708,picea_ab,8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,fraction.sc,47.88533925,8.352094058,3.597532364,0.627476575,25A,10.542,7.328,0.421959831,0.781815028,53.97182403
130E,1,Sand + Agg,sa,0.505239968,7.014947908,0.003696236,0.114652273,12.8745838,53.71091404,6.915056638,3.899307463,0.502019607,picea_ab,8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,fraction.sa,47.88533925,8.352094058,3.597532364,0.627476575,25A,10.542,2.701,0.18677568,0.781815028,23.89000891
130E,1,POM,pom,1.593110674,24.86774668,0.004293298,0,48.61111111,51.15650746,24.86774668,3.272717614,1.590904396,picea_ab,8.661298745,0.630498777,0.374529621,0.003660695,17.44186047,fraction.pom,47.88533925,8.352094058,3.597532364,0.627476575,25A,10.542,0.696,0.173079517,0.781815028,22.13816706
130E,2,Silt + Clay,sc,0.244690148,3.296704729,0.003470974,0.225690694,10.33464567,29.94140745,3.094338369,2.337553648,0.241577887,picea_ab,3.522244393,0.228831709,0.930794334,0.003355138,7.509881423,fraction.sc,35.43799775,2.66135161,3.005753689,0.225728538,25B,10.333,7.882,0.24389575,0.321619032,75.83374306
130E,2,Sand + Agg,sa,0.004960369,0.514033675,0.003341904,0,4.674796748,10.99585079,0.514033675,0.037962981,0.001774692,picea_ab,3.522244393,0.228831709,0.930794334,0.003355138,7.509881423,fraction.sa,35.43799775,2.66135161,3.005753689,0.225728538,25B,10.333,2.265,0.011642863,0.321619032,3.620078909
130E,2,POM,pom,1.100618891,18.45821756,0.00351786,0,39.3258427,46.93661036,18.45821756,2.793289053,1.098484459,picea_ab,3.522244393,0.228831709,0.930794334,0.003355138,7.509881423,fraction.pom,35.43799775,2.66135161,3.005753689,0.225728538,25B,10.333,0.358,0.066080419,0.321619032,20.54617803
130P,1,Silt + Clay,sc,0.394773031,4.64932051,0.00401164,0.107234663,12.96482412,35.14115263,4.555988632,3.01802392,0.391281493,populus,4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,fraction.sc,34.60795354,4.394660768,2.888235793,0.366760101,28A,10.428,7.252,0.330400296,0.496631843,66.52821403
130P,1,Sand + Agg,sa,0.201335515,2.955041592,0.004210047,0.314562094,5.856255546,45.40274988,2.658901058,3.37027675,0.197372019,populus,4.999120472,0.370655433,0.692381116,0.004461926,12.6984127,fraction.sa,34.60795354,4.394660768,2.888235793,0.366760101,28A,10.428,2.761,0.073412258,0.496631843,14.78202802
