"","z.pct.mass.loss","z.soil.start.wt","z.weight.g","z.orgc.weight","z.totwt","z.org.c.start.mass","z.org.c.fraction.mass","z.org.c.bulk.wt","z.inorg.c.mass.frac","z.inorg.c.mass.bulk","site","species","depth","pct.mass.loss","soil.start.wt","weight.g","orgc.weight","totwt","org.c.start.mass","org.c.fraction.mass","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.bulk.wt"
"33",0.168804349864637,1.88128717921793,-1.07108773575994,-0.872094463763141,-1.0227467472356,-0.868029111843897,-0.872094463763141,-0.868029111843897,-0.813119473004923,1.10242964081889,"127F","populus","2",24.1,11.029,0.372,0.0446346432,0.27053609427,0.264344148745568,0.0446346432,0.0004517568,0.09741292186514,0.264344148745568
"36",1.42487974516966,0.248690367346892,-0.962950267078135,0.0936752585620642,1.51109502392046,2.14326158155185,0.0936752585620644,2.14326158155185,-0.839278255350012,-1.63416196511537,"130E","picea","1",48.61111111,10.542,0.696,0.1730795168928,0.781815027693806,0.880477755585256,0.1730795168928,0,0.03948291264582,0.880477755585256
"39",0.949054837181474,-0.451951796269218,-1.07576034243138,-0.71084489253947,-0.769585366090502,-0.815962121481374,-0.71084489253947,-0.815962121481374,-0.839278255350012,1.04413862701492,"130E","picea","2",39.3258427,10.333,0.358,0.0660804188648,0.321619031811483,0.274997461838092,0.0660804188648,0,0.09617897853222,0.274997461838092
"42",1.09643546684997,-0.13347808553462,-1.05039476335787,-0.509796840724855,0.0977587453568519,0.0797894101879219,-0.509796840724855,0.0797894101879219,-0.811356681218365,-0.0885482095472752,"130P","populus","1",42.20183486,10.428,0.434,0.0928192894511944,0.496631843290195,0.45827522484184,0.0928192894511944,0.000482199852205405,0.07220150277648,0.45827522484184
"45",0.797256149525386,-0.348028795924243,-1.11013737722837,-0.854162318029032,-1.01566317714549,-1.10109678346324,-0.854162318029032,-1.10109678346324,-0.838910045697486,1.06391893036764,"130P","populus","2",36.36363636,10.364,0.255,0.0470195721749041,0.27196541799563,0.216656681883769,0.0470195721749041,6.35890509581791e-06,0.09659770127956,0.216656681883769
"48",1.64560163799253,-1.23305047628144,-1.0664151290885,-0.431686763887705,0.200297564655416,0.473037680564451,-0.431686763887707,0.473037680564451,-0.831678199301338,-0.948814493449142,"130Q1","acer","1",52.91828794,10.1,0.386,0.103207727524535,0.517322140041277,0.53873689390021,0.103207727524535,0.000131251407465226,0.053990808258,0.53873689390021
"51",0.486679524971766,-0.800596700652358,-1.11814756009369,-0.998945234398629,-1.09448536683807,-1.15593162242552,-0.998945234398629,-1.15593162242552,-0.839278255350012,2.00600805385344,"130Q1","acer","2",30.3030303,10.229,0.231,0.0277638189906,0.256060665956689,0.20543704533908,0.0277638189906,0,0.11654047662485,0.20543704533908
"54",1.4231665903151,-0.180411053432354,-0.938919718482178,0.230885423924476,1.6053962185765,0.8487564170002,0.230885423924478,0.8487564170002,-0.828427863507097,-1.42745032635959,"130T2","fraxinus","1",48.57768053,10.414,0.768,0.191328113791149,0.800843135436435,0.615611883334179,0.191328113791149,0.000187384039250649,0.0438587234584,0.615611883334179
"57",2.08171233288871,0.231928593097706,-1.14651695774169,-0.869291516166707,-0.609119923761937,-0.809967532506012,-0.869291516166707,-0.809967532506012,-0.833847869432046,1.06602376334396,"130T2","fraxinus","2",61.42857143,10.537,0.146,0.0450074279764006,0.353997770349563,0.276224001585653,0.0450074279764006,9.37816497993837e-05,0.09664225779777,0.276224001585653
"60",1.83768784224122,1.37843395174225,-1.13450168344372,-0.825855289965012,-0.701712729591053,-0.218446138395498,-0.825855289965012,-0.218446138395498,-0.835235032216903,1.70820216272803,"131M","quercus","1",56.66666667,10.879,0.182,0.0507843336498733,0.335314381534235,0.397253901115268,0.0507843336498733,6.98256333266288e-05,0.11023632149222,0.397253901115268
