"","site","depth","species","fraction.name","fraction.code","c.in.org.fract","org.c.in.t.frac","soil.start.wt","weight.g","orgc.weight","pct.c.cont.by.fraction"
"68","131N1",2,"fagus","Sand + Agg","sa",34.2345938676448,0.927011347074024,10.301,3.634,0.03368759235267,16.9443367746235
"69","131N1",2,"fagus","Silt + Clay","sc",39.9217354957837,2.16208151705507,10.301,6.643,0.143627075177968,72.2421925049437
"70","131N2",1,"picea","Silt + Clay","sc",40.3642198164364,6.87316436620255,10.478,6.574,0.451841825434156,66.1492754896902
"71","131N2",1,"picea","Sand + Agg","sa",28.5221021571953,0.819172646759524,10.478,3.198,0.0261971412433696,3.83524015618715
"72","131N2",1,"picea","POM","pom",51.2215320745305,29.289277150502,10.478,0.7,0.205024940053514,30.0154843541226
"73","131N2",2,"picea","Silt + Clay","sc",31.5893613985485,3.02513221496694,10.701,7.123,0.215480167672095,72.148862387853
"74","131N2",2,"picea","Sand + Agg","sa",30.2794712929728,0.89850063170418,10.701,3.37,0.0302794712884309,10.1384244813211
"75","131N2",2,"picea","POM","pom",45.2265080757368,26.8532391699688,10.701,0.197,0.0529008811648385,17.712713130826
"76","131V1",1,"fraxinus","Sand + Agg","sa",41.6469367909238,2.569616,10.111,2.843,0.07305418288,13.9942664669431
"77","131V1",1,"fraxinus","POM","pom",49.0479487179487,19.1287,10.111,0.602,0.115154774,22.0590598479993
"78","131V1",1,"fraxinus","Silt + Clay","sc",37.5387812044005,4.71165033209356,10.111,7.085,0.333820426028829,63.9466736850576
"79","131V1",2,"fraxinus","Sand + Agg","sa",33.5330769230769,1.394976,11.451,3.238,0.04516932288,17.9151402503188
"80","131V1",2,"fraxinus","POM","pom",59.8032394366197,27.599195,11.451,0.1,0.027599195,10.9464436855622
"81","131V1",2,"fraxinus","Silt + Clay","sc",27.9314408660084,2.12185982484559,11.451,8.453,0.179360810994198,71.138416064119
"82","132Q",1,"fagus","POM","pom",49.5434890031605,19.7808888620986,10.149,1.17,0.231436399686554,35.6646451634144
"83","132Q",1,"fagus","Sand + Agg","sa",45.5279489772918,3.47981521334225,10.149,2.679,0.0932242495654389,14.3659760775744
"84","132Q",1,"fagus","Silt + Clay","sc",40.458022628814,4.84119486654031,10.149,6.698,0.32426323216087,49.9693787590112
"85","132Q",2,"fagus","POM","pom",37.3295709866919,12.3149100156125,10.193,0.231,0.0284474421360649,14.6959650917825
"86","132Q",2,"fagus","Sand + Agg","sa",35.9685892209094,1.00532320029623,10.193,2.472,0.0248515895113228,12.8383455421707
"87","132Q",2,"fagus","Silt + Clay","sc",33.7243686501494,1.83797321185424,10.193,7.632,0.140274115528716,72.4656893660468
"88","133U1",1,"picea","Sand + Agg","sa",46.9071935157042,4.62974,10.295,3.141,0.1454201334,18.4900763535131
"89","133U1",1,"picea","POM","pom",50.3674702108158,27.475455,10.295,0.631,0.17337012105,22.0438992915427
"90","133U1",1,"picea","Silt + Clay","sc",40.2363817979939,6.97414848255018,10.295,6.706,0.467686397239815,59.4660243549442
"91","133U1",2,"picea","Sand + Agg","sa",34.9190909090909,1.229152,10.335,2.361,0.02902027872,6.87682495042437
"92","133U1",2,"picea","POM","pom",51.5886791457949,19.567586,10.335,0.91,0.1780650326,42.1953927733265
"93","133U1",2,"picea","Silt + Clay","sc",31.1916518793568,2.75497775444383,10.335,7.801,0.214915814624163,50.9277822762491
"94","133U2",1,"populus","Silt + Clay","sc",43.8072324723247,5.93588,10.488,6.888,0.4088634144,63.5875160778493
"95","133U2",1,"populus","Sand + Agg","sa",99.1793193717278,3.78865,10.488,3.053,0.1156674845,17.98891211903
"96","133U2",1,"populus","POM","pom",50.2821009153829,22.521353,10.488,0.526,0.11846231678,18.4235718031208
"97","133U2",2,"populus","Silt + Clay","sc",38.5742998760843,3.112946,10.614,7.648,0.23807811008,67.8323838474166
"98","133U2",2,"populus","Sand + Agg","sa",43.6478884462151,2.191124,10.614,2.909,0.06373979716,18.1605204521355
"99","133U2",2,"populus","POM","pom",55.5384791965567,19.35516,10.614,0.254,0.0491621064,14.0070957004479
"100","133V1",1,"acer","Silt + Clay","sc",39.2023911441312,5.32128676983056,10.459,7.82,0.41612462540075,69.3333045531404
"101","133V1",1,"acer","Sand + Agg","sa",40.488873644732,3.05133540508677,10.459,2.196,0.0670073254957055,11.1645382712234
"102","133V1",1,"acer","POM","pom",50.7742667057683,26.72329826753,10.459,0.438,0.117048046411781,19.5021571756362
"103","133V1",2,"acer","Silt + Clay","sc",32.1157155654519,3.27314558242634,10.067,8.038,0.263095441915429,72.5293867453095
"104","133V1",2,"acer","Sand + Agg","sa",35.1230154650717,2.09797620699492,10.067,1.895,0.0397566491225537,10.9599974781553
