"site","species","depth","pct.mass.loss.fraction","pct.mass.loss.bulk","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.start.mass.bulk","org.pom","org.sa","org.sc","inorg.pom","inorg.sa","inorg.sc"
"133U2","populus",2,34.85,8.387096774,10.614,0.254,0.049162106,0.350980014,0.000926694,0.133235644,0.304385738,0.140070956120228,0.181605204396639,0.678323839483133,0.0127123075069892,0.234993375002591,0.75229431749042
"130T2","fraxinus",2,61.42857143,9.756097561,10.537,0.146,0.045007428,0.35399777,9.38e-05,0.096642258,0.276224002,0.12714042803151,0.0868778551910087,0.785981716777481,0.00268246065948381,0.149059763221657,0.848257776118859
"133V1","acer",2,61.53846154,9.375,10.067,0.197,0.059891141,0.362743232,0.000173244,0.080360576,0.326732543,0.165106156963392,0.109599974562723,0.725293868473885,0.00935785447997209,0.134153554503598,0.856488591016429
"159P","picea",2,41.08527132,7.586206897,10.377,0.255,0.051788772,0.360097374,3.72e-05,0.081218904,0.294947183,0.143818799411739,0.141970907569018,0.714210293019243,0.000942878852968612,0.237182417428335,0.761874703718696
"132Q","fagus",2,32.98969072,6.313262087,10.193,0.231,0.028447442,0.193573147,0.000566158,0.079709694,0.201726654,0.146959649589415,0.128383457399784,0.724656893010801,0.00747544894708241,0.184309630027348,0.808214921025569
"126E","fagus",1,38.86,10.84723707,10.488,0.731,0.1402058,0.506745932,0,0.050158151,0.514744318,0.276678688759558,0.110480717189063,0.61284059405138,0,0.211094433931306,0.788905566068694
"130E","picea",2,39.3258427,7.509881423,10.333,0.358,0.066080419,0.321619032,0,0.096178979,0.274997462,0.205461780632435,0.0362007898836037,0.758337429483962,0,0,1
"133U1","picea",2,37.93,7.547169811,10.335,0.91,0.178065033,0.422001126,0.000112967,0.077830144,0.324360701,0.421953927625411,0.0687682499956925,0.509277822378896,0.00189943271583233,0.0995815605230198,0.898519006761148
"156H","picea",2,28.17887931,7.181896634,10.074,0.346,0.052761311,0.308192339,0.000695689,0.082802362,0.285583659,0.171196049194474,0.0662975303020185,0.762506420503508,0.010200814201189,0.154365216916992,0.835433968881819
"157L","quercus",2,58.13953488,7.382550336,10.453,0.106,0.027175718,0.346352968,0.000111499,0.090873418,0.260353488,0.0784624949424426,0.152215906519964,0.769321598537594,0.00480147633587313,0.477873995728844,0.517324527935283
"134X","fagus",2,42.19,6.944444444,10.921,0.179,0.039841825,0.273037128,0.001417675,0.107126019,0.276943178,0.145920905672579,0.163851163128261,0.690227931199159,0.019642632188503,0.206698794674579,0.773658573136918
"131N1","fagus",2,36.76880223,5.274736019,10.301,0.114,0.021498616,0.198813284,0.000742784,0.09697742,0.179209905,0.108134706472303,0.169443366618517,0.722421926909179,0.0090111847249316,0.283470317897497,0.707518497377571
"131N2","picea",2,59.375,4.285714286,10.701,0.197,0.052900881,0.29866052,0.000273913,0.095151323,0.254156132,0.177127130830684,0.101384243890019,0.721488625279297,0.00513659882121121,0.282547215038857,0.712316186139931
"126Y","fraxinus",2,16.7077378,8.284023669,10.467,0.516,0.0338496,0.323473974,0,0.088311084,0.313366969,0.104643967430901,0.126761623177758,0.768594409391341,0,0.234772189501995,0.765227810498005
