"site","depth","mean.ph","depth_cm","species","avg.bd","pct.m","mean.c.pre","mean.n.pre","mean.c.post","mean.n.post","mean.pct.mass.loss"
"133V1","2",6.9595,"5_15","acer",1.028,0.663,3.969000843,0.274692042,0.798257432,0.004049163,9.375
"133V1","3",7.3405,"15_25","acer",0.969,0.815,3.09989959,0.190420648,1.14447143,0.0046745575,7.045045045
"133V1","4",7.01333333333333,"25_40","acer",0.902,0.637,2.903575592,0.169460376,0.942861912,0.003020653,5.844155844
"134T","1",6.908,"0_5","quercus",0.739,66.555,6.948761345,0.498806199,0.4952112375,0.0117789725,14.531903865
"134T","2",7.224,"5_15","quercus",0.904,56.756,3.4362744475,0.2338287465,0.721266629,0.003562948,6.956854677
"134T","3",7.40933333333333,"15_25","quercus",0.876,51.981,2.337196613,0.143146,0.854668338,0.002937994,5.092136728
"134T","4",7.364,"25_40","quercus",0.964,25.853,2.0150510775,0.1412024585,0.877966797,0.003068436,5.480507169
"134X","1",7.2215,"0_5","fagus",0.959,18.009,5.605310593,0.365286278,0.511223006,0.004352642,12.08053691
"134X","2",7.2495,"5_15","fagus",0.98,26.8,2.36838573,0.145350607,0.841143041,0.017010933,6.282722513
"134X","3",7.215,"15_25","fagus",0.921,24.097,2.886616429,0.173626116,1.044691146,0.0040434,6.338028169
"134X","4",7.4085,"25_40","fagus",1.034,19.327,2.176342216,0.123941154,0.87484489,0.003271278,5.369127517
"135J","1",7.243,"0_5","acer",0.82,33.794,5.3904409085,0.4226717815,0.6054534415,0.003049314,10.748128015
"135J","2",7.285,"5_15","acer",0.955,27.784,3.278863854,0.220884505,0.78071832,0.002746624,6.86017138
"135J","3",7.39033333333333,"15_25","acer",0.968,23.27,2.6386411115,0.156265404,1.0104767035,0.003599011,5.1465055645
"135J","4",7.27866666666667,"25_40","acer",0.884,23.945,2.503283764,0.148085533,0.797720283,0.003090885,6.25
"156H","1",7.219,"0_5","picea",0.628,NA,8.193354035,0.549642333,0.555869359,0.003808016,16.22407187
"156H","2",7.377,"5_15","picea",0.981,NA,3.597768917,0.226226263,0.821941252,0.003156156,7.181896634
"156H","3",7.413,"15_25","picea",0.956,NA,2.7702733605,0.1576883555,0.984211784,0.0030922925,5.65485308
"156Q","1",6.992,"0_5","picea",0.697,44.677,8.097780592,0.588843268,0.271525518,0.003594438,15.97222222
"156Q","2",7.277,"5_15","picea",0.985,31.962,3.436138198,0.241635066,0.699560175,0.003356668,6.875
"156Q","3",7.341,"15_25","picea",1.078,19.064,2.432798067,0.152127175,0.93078879,0.003519585,6.12244898
"156Q","4",7.198,"25_40","picea",1.005,28.275,2.311831757,0.138321347,0.709017744,0.003248423,5.769230769
"157L","1",7.022,"0_5","quercus",0.73,52.218,8.24140279,0.619888548,0.462417205,0.003387298,17.6056338
"157L","3",7.304,"15_25","quercus",1.025,25.411,2.554551586,0.158087143,0.85864158,0.00316672,5.172413793
"157L","4",7.381,"25_40","quercus",0.897,30.972,2.417709918,0.150537087,0.636913787,0.003065797,5.22875817
"158G","1",7.226,"0_5","quercus",0.741,51.807,7.400181969,0.513065664,0.62333637,0.003284808,15.43624161
"158G","2",7.329,"5_15","quercus",0.966,32.292,3.39274581,0.221818002,0.757871429,0.003583623,8.187134503
"158G","3",7.3155,"15_25","quercus",0.991,25.689,1.435497986,0.150323051,0.813023155,0.003677756,6.403940887
"158G","4",7.375,"25_40","quercus",0.961,25.724,2.508020984,0.1461705365,0.839709053,0.0031201375,5.679668317
"158J1","2",7.1925,"5_15","picea",0.979,23.72,3.562900527,0.22510949,0.911460489,0.003429082,6.285714286
"158J1","3",7.402,"15_25","picea",0.971,36.144,2.6595316305,0.1552928165,0.947770459,0.00320378,6.6101613525
