"","X","site","depth","species","fraction.name","fraction.code","c.in.org.fract","org.c.in.t.frac","soil.start.wt","weight.g","orgc.weight","pct.c.cont.by.fraction","totwt"
"82",82,"132Q","1","fagus","POM","pom",49.5434890031605,19.7808888620986,10.149,1.17,0.231436399686554,8.57806462522479,2.69800251919283
"83",83,"132Q","1","fagus","Sand + Agg","sa",45.5279489772918,3.47981521334225,10.149,2.679,0.0932242495654389,3.45530624609383,2.69800251919283
"84",84,"132Q","1","fagus","Silt + Clay","sc",40.458022628814,4.84119486654031,10.149,6.698,0.32426323216087,12.0186408223918,2.69800251919283
"85",85,"132Q","2","fagus","POM","pom",37.3295709866919,12.3149100156125,10.193,0.231,0.0284474421360649,2.97115211747011,0.957454920224261
"86",86,"132Q","2","fagus","Sand + Agg","sa",35.9685892209094,1.00532320029623,10.193,2.472,0.0248515895113228,2.59558846963802,0.957454920224261
"87",87,"132Q","2","fagus","Silt + Clay","sc",33.7243686501494,1.83797321185424,10.193,7.632,0.140274115528716,14.6507279419338,0.957454920224261
"88",88,"133U1","1","picea","Sand + Agg","sa",46.9071935157042,4.62974,10.295,3.141,0.1454201334,2.6344008834063,5.5200457271321
"89",89,"133U1","1","picea","POM","pom",50.3674702108158,27.475455,10.295,0.631,0.17337012105,3.14073704494606,5.5200457271321
"90",90,"133U1","1","picea","Silt + Clay","sc",40.2363817979939,6.97414848255018,10.295,6.706,0.467686397239815,8.47250947471404,5.5200457271321
"91",91,"133U1","2","picea","Sand + Agg","sa",34.9190909090909,1.229152,10.335,2.361,0.02902027872,1.31462083398209,2.20750181115685
"92",92,"133U1","2","picea","POM","pom",51.5886791457949,19.567586,10.335,0.91,0.1780650326,8.06635952460143,2.20750181115685
"93",93,"133U1","2","picea","Silt + Clay","sc",31.1916518793568,2.75497775444383,10.335,7.801,0.214915814624163,9.73570275403467,2.20750181115685
"94",94,"133U2","1","populus","Silt + Clay","sc",43.8072324723247,5.93588,10.488,6.888,0.4088634144,12.6065923757962,3.24325085012655
"95",95,"133U2","1","populus","Sand + Agg","sa",99.1793193717278,3.78865,10.488,3.053,0.1156674845,3.56640574057004,3.24325085012655
"96",96,"133U2","1","populus","POM","pom",50.2821009153829,22.521353,10.488,0.526,0.11846231678,3.65257953375323,3.24325085012655
"97",97,"133U2","2","populus","Silt + Clay","sc",38.5742998760843,3.112946,10.614,7.648,0.23807811008,14.0481330954311,1.69473131029369
"98",98,"133U2","2","populus","Sand + Agg","sa",43.6478884462151,2.191124,10.614,2.909,0.06373979716,3.76105620831153,1.69473131029369
"99",99,"133U2","2","populus","POM","pom",55.5384791965567,19.35516,10.614,0.254,0.0491621064,2.90087910109364,1.69473131029369
"100",100,"133V1","1","acer","Silt + Clay","sc",39.2023911441312,5.32128676983056,10.459,7.82,0.41612462540075,15.0752045967927,2.76032489462386
"101",101,"133V1","1","acer","Sand + Agg","sa",40.488873644732,3.05133540508677,10.459,2.196,0.0670073254957055,2.42751589228544,2.76032489462386
"102",102,"133V1","1","acer","POM","pom",50.7742667057683,26.72329826753,10.459,0.438,0.117048046411781,4.24037208952285,2.76032489462386
"103",103,"133V1","2","acer","Silt + Clay","sc",32.1157155654519,3.27314558242634,10.067,8.038,0.263095441915429,18.950566723851,1.38832492847984
"104",104,"133V1","2","acer","Sand + Agg","sa",35.1230154650717,2.09797620699492,10.067,1.895,0.0397566491225537,2.86364152274393,1.38832492847984
"105",105,"133V1","2","acer","POM","pom",49.4025912187707,30.4015945969266,10.067,0.197,0.0598911413559454,4.31391384879358,1.38832492847984
"106",106,"134T","1","quercus","Sand + Agg","sa",44.5212233285917,3.129842,10.28,2.55,0.079810971,2.64299816997328,3.01971344160283
"107",107,"134T","1","quercus","Silt + Clay","sc",44.6039373970346,5.414918,10.28,6.901,0.37368349118,12.3747997419799,3.01971344160283
"108",108,"134T","1","quercus","POM","pom",50.2649325626204,20.87,10.28,0.845,0.1763515,5.8400077825396,3.01971344160283
"109",109,"134T","2","quercus","Sand + Agg","sa",41.03,1.6412,10.921,2.845,0.04669214,3.10350425898897,1.50449737147166
"110",110,"134T","2","quercus","Silt + Clay","sc",38.5194972067039,2.757996,10.921,7.781,0.21459966876,14.2638779455018,1.50449737147166
"111",111,"134T","2","quercus","POM","pom",51.2969979597785,17.6,10.921,0.275,0.0484,3.2170212403001,1.50449737147166
"112",112,"134X","1","fagus","Silt + Clay","sc",40.7236531365314,4.414444,10.28,7.198,0.31775167912,11.7772936407436,2.69800251919283
"113",113,"134X","1","fagus","Sand + Agg","sa",45.3893700787402,2.882225,10.28,2.689,0.07750303025,2.87260777922427,2.69800251919283
"114",114,"134X","1","fagus","POM","pom",52.374272689598,25.275824,10.28,0.477,0.12056568048,4.46870155317979,2.69800251919283
"115",115,"134X","2","fagus","Silt + Clay","sc",33.7161527581329,2.383732,10.921,7.906,0.18845785192,19.6832088842217,0.957454920224261
"116",116,"134X","2","fagus","Sand + Agg","sa",41.8965306122449,1.642344,10.921,2.724,0.04473745056,4.67253858275869,0.957454920224261
"117",117,"134X","2","fagus","POM","pom",52.7565844986964,22.258003,10.921,0.179,0.03984182537,4.16122206157424,0.957454920224261
"118",118,"135J","1","acer","POM","pom",48.5063624021924,23.588043789354,10.088,0.308,0.0726511748712103,2.63197912001987,2.76032489462386
"119",119,"135J","1","acer","Sand + Agg","sa",45.7055157095565,4.55215019393839,10.088,2.457,0.111846330265066,4.05192629617272,2.76032489462386
"120",120,"135J","1","acer","Silt + Clay","sc",40.9982747695736,4.42621504168534,10.088,7.376,0.326477621474711,11.827507048557,2.76032489462386
"121",121,"135J","2","acer","POM","pom",30.0126931588596,4.25,10.356,0.787,0.0334475,2.40919825855347,1.38832492847984
"122",122,"135J","2","acer","Sand + Agg","sa",32.6151640852866,1.67318415680086,10.356,2.009,0.0336142697101293,2.42121055529382,1.38832492847984
"123",123,"135J","2","acer","Silt + Clay","sc",39.1516974739964,2.51710855945954,10.356,8.235,0.207283889871493,14.9305026236517,1.38832492847984
"124",124,"156H","1","picea","POM","pom",36.2765650528217,6.42866991160693,10.367,0.653,0.0419792145227933,0.760486716920791,5.5200457271321
"125",125,"156H","1","picea","Sand + Agg","sa",54.8519370188901,3.79166306795822,10.367,2.461,0.0933128281024518,1.69043578106248,5.5200457271321
"126",126,"156H","1","picea","Silt + Clay","sc",43.5897732283163,6.8348764422,10.367,7.115,0.48630145886253,8.80973605838559,5.5200457271321
"127",127,"156H","2","picea","POM","pom",54.1147629058462,15.248933728131,10.074,0.346,0.0527613106993333,2.3900913889481,2.20750181115685
"128",128,"156H","2","picea","Sand + Agg","sa",35.7277633380297,1.1351328227694,10.074,1.8,0.0204323908098492,0.925588858255183,2.20750181115685
"129",129,"156H","2","picea","Silt + Clay","sc",35.0456320878932,2.8894459355998,10.074,8.133,0.234998637942332,10.6454561783204,2.20750181115685
"130",130,"157G","1","populus","Sand + Agg","sa",43.1285922836288,4.136032,10.424,2.227,0.09210943264,2.84003417855902,3.24325085012655
"131",131,"157G","1","populus","POM","pom",49.2209450830141,19.27,10.424,1.332,0.2566764,7.91417043766395,3.24325085012655
"132",132,"157G","1","populus","Silt + Clay","sc",41.3070581886248,6.24191938570153,10.424,7.313,0.456471564676353,14.074506899722,3.24325085012655
"133",133,"157G","2","populus","Sand + Agg","sa",34.3594793926247,1.583972,10.156,1.688,0.02673744736,1.57768061506851,1.69473131029369
"134",134,"157G","2","populus","POM","pom",50.307200786434,20.47,10.156,0.912,0.1866864,11.0156930993178,1.69473131029369
"135",135,"157G","2","populus","Silt + Clay","sc",34.247318401688,3.34155038915975,10.156,8.326,0.278217485401441,16.4166132832719,1.69473131029369
"136",136,"157L","1","quercus","Silt + Clay","sc",38.683718848173,6.51842002465217,10.415,7.485,0.487903738845215,16.1572860564624,3.01971344160283
"137",137,"157L","1","quercus","Sand + Agg","sa",45.7228533705888,7.27219057053827,10.415,2.143,0.155843043926635,5.1608553904345,3.01971344160283
"138",138,"157L","1","quercus","POM","pom",51.1965009649818,28.2509189261397,10.415,0.548,0.154815035715246,5.12681215317807,3.01971344160283
"139",139,"157L","2","quercus","Silt + Clay","sc",28.5279156282121,3.09905581902016,10.453,8.598,0.266456819319353,17.7106869291976,1.50449737147166
"140",140,"157L","2","quercus","Sand + Agg","sa",38.3265253926808,3.1721077491549,10.453,1.662,0.0527204307909544,3.50418895975768,1.50449737147166
"141",141,"157L","2","quercus","POM","pom",44.0964478348861,25.6374696698046,10.453,0.106,0.0271757178499929,1.80629879222789,1.50449737147166
"142",142,"158G","1","quercus","Silt + Clay","sc",37.6340757249984,5.85943289638772,10.462,7.836,0.459145161760942,15.2049249255,3.01971344160283
"143",143,"158G","1","quercus","Sand + Agg","sa",44.8396204185111,4.8281467622272,10.462,2.172,0.104867347675575,3.47275825019716,3.01971344160283
"144",144,"158G","1","quercus","POM","pom",51.000828617678,30.0318468158641,10.462,0.334,0.100306368364986,3.32171811348246,3.01971344160283
"145",145,"158G","2","quercus","Silt + Clay","sc",28.5473692488155,2.73264023368986,10.385,8.239,0.225142228853708,14.9646143039439,1.50449737147166
"146",146,"158G","2","quercus","Sand + Agg","sa",38.0528707826904,1.73164372161072,10.385,2.083,0.0360701387211513,2.39748765302717,1.50449737147166
"147",147,"158G","2","quercus","POM","pom",47.7171587042,20.2279259734699,10.385,0.199,0.0402535726872051,2.67554955232857,1.50449737147166
"148",148,"158J1","1","picea","Sand + Agg","sa",46.7701694915254,4.966992,10.174,3.007,0.14935744944,2.70572848166599,5.5200457271321
